source_pdf,query,answer
Organic framing guide.pdf,How to irrigation for Maize?,"(cm) 6 CRI, Late jointing and 30 cm milking Major weeds Convolvulus arvensis, Anglensis arvensis, Cornopus didymus, Chenopodium album, Chenopodium murale"
Organic framing guide.pdf,How to weed management for Maize?,"Critical stage of weeding Recommended practice for organic condition Early stage of crop Weed control in organic wheat, relies on growth, crop should crop rotations, cover crops and mulching. 313 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram be weed free up to For cultivation to be successful, a straight, 45 DAS well prepared bed, as well as straight seeding lines in a conventional diamond pattern is necessary for cultivating implements to remove the most weeds while leaving the crop undisturbed..."
Organic framing guide.pdf,How to seed treatment for Maize?,"with 10 g/kg seed Fungus Metarhizium anisopliae Yield Year 1st2nd3rdMean Economic yield (q/ha) 5055 4458 4296 4603 Organic Maize Organic Wheat (Durum) 314 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Soybean Particulars Kharif Crop Soybean Sowing/planting Fi rst fortnight of July"
Organic framing guide.pdf,How to harvesting for Maize?,"First fortnight of October Variety JS-335 Important features of suitable variety Variety JS-335 Duration (days) 95-100 Average yield under organ ic condition ( kg/ha) 2500-3000 Kg/ha Source (s) of availability RSSC, Udaipur Suitable regions/districts in the state Kota, Jhalawar, Baran, Bundi, Pratapgarh, Chhitorgarh,Banswara Field preparation: 1. Deep summer ploughing to hamper the population of soil born pest and disease pathogen. 2..."
Organic framing guide.pdf,How to seed treatment for Maize?,8 g/kg seeds Neem cake 200 Kg/ha Soil treatment before sowing Spacing (row x plant) in cm 30x5 Basal application of organic Source Quantity/ha manures FYM or FYM-6 tonnes Or Vermicompost V ermicompost 2 tonnes
Organic framing guide.pdf,How to irrigation for Maize?,"(cm) 2 Flowering & Pod 30 cm formation Major weeds Local Name English name Scientific name Motha Nuts edge Cyperus spp. Bokna Day flower Commelina benghalensis Salara White cock’s comb Celosia arvensis Kundra Digera Digera arvensis Sanwa ghas Barnyard grass Echinochloa crusgalli Kodon Goose grass Eleusine indica Sathi Horse purslane Trianthema portulacstrum Doob ghas Bermuda grass Cynodon dactylon Congress ghas Parthenium Parthenium hysterophorus Hazardana Hazardana Phyllanthus niruri Dooddi Euphorbia Euphorbia spp. 316 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram"
Organic framing guide.pdf,How to weed management for Maize?,"Critical stage of weeding Recommended practice for organic condition Early stage of crop Weed control in organic soybean, relies on growth, crop should crop rotations, cover crops and mulching.be weed free up to 30- For cultivation to be successful, a straight,45 DAS well prepared bed, as well as straight seeding lines in a conventional diamondpattern is necessary for operation of cultivating implements to remove the most weeds while leaving the crop undisturbed.To keep the weeds down, two handweedings, one mechanical weeding andhoeing at 30 DAS and one hand weeding at45 DAS should be given..."
Organic framing guide.pdf,How to seed treatment for Maize?,"with e. cow urinecow urine (1:10) and (1:10) andAsafoetida (0.1%) Asafoetida solution. (0.1%) solution. f. Spray of 20-30 days f. 10 ml/L Water fermented milk whey at 30 & 45 DAS. Yield Year 1st2nd3rdMean Economic yield (kg/ha) 1380 1485 652 1172 317 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Coriander Particulars Rabi Crop Coriander Sowing/planting FirstFortnight of November"
Organic framing guide.pdf,How to harvesting for Maize?,"First Fortnight of March Variety CS-6 Important features of suitable variety Variety CS-6 Duration (days) 150Average yield under organic condition (kg/ha) 8-10 Kg/haSource (s) of availability RSSC Suitable regions/districts in the state Kota Field preparation: Ploughing is necessary to break up any compact layers in the soil so that root can penetrate deep in the soil to obtain moisture from the depth during dry periods. Disk harrowing shouldfollow ploughing to break up clods, level the seedbed with planking. Cultural practices Seed rate (kg/ha) 20 Kg/ha..."
Organic framing guide.pdf,How to seed treatment for Maize?,8 g/kg seeds Spacing (row x plant) in cm 30x5 cm Basal application of organic Source Quantity/ha manures Green manuring (Dhaincha)FYM or Vermicompost FYM- 5 tonnes Or Vermicompost- 1.67 tonnes
Organic framing guide.pdf,How to irrigation for Maize?,"(cm) 2 Branching and Seed formation Major weeds Convolvulus arvensis, Anglensis arvensis, Cornopus didymus, Chenopodium album, Chenopodium murale 319 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram"
Organic framing guide.pdf,How to weed management for Maize?,Critical stage of weeding Recommended practice for organic condition 30-35 DAS & 55-60 DAS Hand weeding & hoeing Organic plant protection Name of pest/disease Organic material Quantity practices r ecommended for control Aphids a. Y ellow sticky traps a. 10-15/ha b. Spray of Azadirictin b. 5 ml/L Water formulation 500ppm Wilt
Organic framing guide.pdf,How to seed treatment for Maize?,"with 8 g/Kg seed Trichoderma viride Yield Year 1st2nd3rdMean Economic yield (kg/ha) 1271 1002 599 957 Organic Soybean Organic Coriander 320 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram SIKKIM Suggested cropping systems (Based on Testing by ICAR-National Organic Farming Research Institute Tadong, Gangtok) For Rainfed areas 1. Maize (green cobs)-black gram (pahenlo dal)-buckwheat 2. Maize+beans-vegetable pea3. Maize+beans-rajmash4. Maize+beans-toria For Irrigated areas 1. Rice-vegetable pea-maize (green cobs)2. Rice-fenugreek (leafy vegetable)-baby corn3..."
Organic framing guide.pdf,How to harvesting for Maize?,"July March November Varieties RCM 1-76 Vivek Mithey PD-3 QPM -9 HQPM-1 PRB-1 321 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Important features of suitable varieties Varieties RCM 1-76 Vivek QPM-9 Duration (days) 105-110 100-105 Average yield under organic condition (t/ha) 6200 (green cobs) 7500 (green cobs) Cultural practices Seed rate (kg/ha) 20-25 kg/ha Pre-sowing/planting treatment Material Recommended Met hod of of seed/seedlings rate application Biofertilizer 600 g/ha"
Organic framing guide.pdf,How to seed treatment for Maize?,"(Azospirillum 600 g/ha spp.), Phospho-bacteria Spacing (row x plant) in cm 50 × 20 Basal application of organic Source Quantity/ha manures FYM 8.0 tonnes Vermicompost 1.0 tonnes Azospirillum spp. 2.0 kg PSM 2.0 kgNeem cake 0.5 tonnes"
Organic framing guide.pdf,How to irrigation for Maize?,practices Number of Most critical Depth of
Organic framing guide.pdf,How to irrigation for Maize?,(cm) Crop grown totally under rainfed condition. Therefore no
Organic framing guide.pdf,How to weed management for Maize?,"Critical stage Recommended practice for organic condition of weeding 45 days after Use of weed biomass/ tree leaves mulch sowing bet ween the rows 322 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Organic plant protection Name of pest/ Recommended Quantity/ m2 area practices disease organic material/ practices used for control Diseases: Turcicum leaf blight( Helminthosporium turcicum) Maydis leaf blight (Bipolaris maydis ) Bacterial stalk rot (Erwinia carotovora, Erwinia chrysanthemi ) Insect pests: Cut worm, Stem borer, Army worm,Semi-looper, Cobborer and Birddamage 1..."
Organic framing guide.pdf,How to harvesting for Maize?,"timings 4. Spray neem formulations 1500ppm @3ml/l orSpinosad 45 SC @ 0.3 ml/l Yield Economic yield Average 6000 kg Blackgram (Pahenlo dal) Variety PD-3 Duration (days) 115-120 Average yield under organic condition (kg/ha) 650 323 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Cultural practices Seed rate (kg/ha) 20-25 Pre-sowing/planting treatment Material Reco mmended rate of seed/seedlings (kg/ha or litre/ha) Method of application Rhizobium 400 g"
Organic framing guide.pdf,How to seed treatment for Maize?,PSB (Phosphate Solubilizing 400 g Bacteria) Spacing (row × plant) in cm 30 x 10 Basal application of organic Source             Quantity/hamanures FYM 5 tonnesVermicompost 2.5 tonnes
Organic framing guide.pdf,How to irrigation for Maize?,(cm) Pre-flowering stage
Organic framing guide.pdf,How to weed management for Maize?,"Critical stage Recommended practice for organic condition of weeding 10-40 DAS Hand weeding Farm litter mulch @ 5 t/ha Organic plant protection Name of pest/ Recommended Quantity/m2 area practices disease organic material/ practices used for control Diseases: Field sanitation. Anthracnose Application of (Colletotrichum wettable sulphur lindemuthianum ), @0.25%. Yellow mosiac Spray neem oil. virus rust Insect pests: Spray Spinosad Pod sucking bugs 45 SC @0.3 m l/l. (Riptortus spp ) Removal and bihar hairy destruction of early caterpillar stage larvae..."
Organic framing guide.pdf,How to seed treatment for Maize?,"treatment+mixed 5 t/ha +0.5 t/ha or and soil compost+neem vermicompost 1.5 t/ha application cake Or vermicompost Spacing (row x plant) in cm 30-45 row to row, 10-15 plant to plant"
Organic framing guide.pdf,How to weed management for Maize?,"Critical stage Recommended practice for organic of weeding condition One weeding and hoeing Crop should be seeded into a fine, at 20-25 DAS is helpful for firm and weed-free seedbed. raising a good crop Secondly, the seed should be placed into moist soil to ensurequick germination and emergence..."
Organic framing guide.pdf,How to harvesting for Maize?,"of maize, around 30 per cent residue (maize stalk) should be retained for mulching (conservation agriculture/minimum tillage) in rabi sown crop (vegetable pea), which have the ability to reduce soil temperature, crusting of soil surface, surfaceevaporation, emergence of weeds, soil erosion, sand-blasting damage to seedlings andimprove infiltration rate and finally increased productivity of maize+bean -vegetable peasystem. Mulching (residue retention of previously harvested crop) has the potential to reduce therisk of crop failure as a result of drought, especially during the winter season."
Organic framing guide.pdf,How to seed treatment for Maize?,"(Azospirillum spp.) Phospho-bacteria Spacing (row × plant) in cm 50 × 20 Basal application of organic Source Quantity/ha manures FYM 8.0 tonnes Vermicompost 1.0 tonnes Azospirillum spp. 2.0 kg PSM 2.0 kg Neem cake 0.5 tonnes 327 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram"
Organic framing guide.pdf,How to weed management for Maize?,"Critical stage Recommended practice for organic condition of weeding 45 days after Use of weed biomass/ tree leaves mulch sowing bet ween the rows Organic plant protection Name of pest/ Recommended practices disease organic material/practices usedfor control Diseases:Turcicum leafblight( Helminthos poriumturcicum ) Maydis leaf blight( Bipolaris maydis ) Bacterial stalk rot( Erwinia carotovora, Erwinia chrysanthemi ) Insect pests: 1.Hand picking or Cut worm, Stem trapping of adultborer, Army worm, months Semi-looper, Cob 2.Crop rotationborer and Bird 3. Change in sowing damage and"
Organic framing guide.pdf,How to harvesting for Maize?,"timings 4.Spray neem formulations 1500ppm @3 ml/l orSpinosad 45 SC@ 0.3 ml/l Yield Economic yield (kg/ha)                    4100 (maize) and 4500 kg (green pod of cowpea) 328 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Rabi crops Cultural practices Vegetable pea Rajmash Toria Land preparation After"
Organic framing guide.pdf,How to harvesting for Maize?,"of A good seed bed The land should be well maize, around 30 should consist of 5 to prepared first by 2-3 deep per cent residue 7 cm of fine firm soil ploughing with soil (maize stalk) should that is free from turning plough, followed be retained for weeds. After by two cross-harrowing mulching"
Organic framing guide.pdf,How to harvesting for Maize?,"of (conservation around 30 per cent maize results in good agriculture/minimum residue (maize germination and uniform tillage) in vegetable stalk) should be stand of the crop. pea. retained for mulching (conservationagriculture/minimum tillage), which have the ability to reducesoil temperature,crusting of soilsurface, surfaceevaporation, emergence of weeds, soil erosion,sand-blasting damageto seedlings andimprove infiltration rate Organic manure Vermicompost or neem Apply vermi compost Application of mixed application cake @ 1.0 t/ha in or neem cake compost @ 5 t/ha + furrows open for @ 1..."
Organic framing guide.pdf,How to irrigation for Maize?,water is available then apply supplemental
Organic framing guide.pdf,How to irrigation for Maize?,"at pre pod formation stage. Weed The critical period The critical period of The critical period of management of crop weed crop weed competition crop weed competition competition is 40 is 40 days after is 45 days after days after sowing. sowing. sowing. One hand weeding, Two hand weeding, One hand weeding first at 30 DAS first at 15-20 DAS and at 15-20 DAS should second at 40-45 DAS be done to get theshould be done to get optimum yield. the optimum yield..."
Organic framing guide.pdf,How to harvesting for Maize?,"First picking 85-95 85-90 days after 110-115 days after days after sowing sowing sowing For Irrigated areas 1. Rice-vegetable pea-maize (green cobs) 2. Rice-fenugreek (leafy vegetable)-baby corn3. Rice-sunflower-dhaincha (green manuring)4. Rice-vegetable pea Land preparation The land should be properly prepared with two-three ploughing and uniform levelling with peripheral bund. 330 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Puddling may be done two-three times to make it weed-free and water retentive..."
Organic framing guide.pdf,How to weed management for Rice?,"Manual weeding Organic plant protection Name of pest/ Recommended Quantity/ m2 area practices disease organic material used for control Seed borne Solar seeddiseases treatment 331 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Soil borne Seed and seedling diseases treatment with tricoderma Optimum age of nursery (days) 8-14 days in SRI Cultural practices Seed rate (kg/ha) 60-100 kg/ha for upland condition Pre-sowing/planting treatment Material Recommended Met hod of of seed/seedlings rate (kg/ha or lit/ha) application Azosprillum and 2 kg/ha"
Organic framing guide.pdf,How to seed treatment for Rice?,"phosphate and seedling root solubilizers dipping Azolla 500 kg/ ha Azolla is incorporated as green manure before transplanting Spacing (row × plant) in cm 20 × 15 Number of seedling/hill 2-3 Basal application of organic Source Quantity/ha manures FYM 15 tonnes Neem cake 1.0 tonnes Organic plant protection Name of pest/ Recommended practices disease organic material/practices usedfor control Diseases: Deep summer Blast, Brown spot, ploughing. Sheath rot, Sheath Growing tolerant blight, Stem rot, varieties. Crop rotationFalse smut, with oil seeds and Bacterial leaf pulses..."
Organic framing guide.pdf,How to irrigation for Rice?,At knee 15-20 Three One manage- DAS and has been high stage DAS and
Organic framing guide.pdf,How to irrigation for Rice?,ment second at given at at just at 1. Bud pod filling 10 day appearance initiation stage interval and of silking 2. Flower just after opening each cutting 3. Seed filling Weed The critical Critical crop The critical Critical crop Critical crop NA manage- period of weed period period of weed weed period ment crop weed 30 DAS crop weed completion 30-45 DAS competition First competition period 35 One hand is 40 days weeding is 45 days DAS weeding at after sowing. after sowing...
Organic framing guide.pdf,How to harvesting for Rice?,"First picking First cutting 110-115 First picking 140 DAS Incorpo- 65-70 DAS 60 DAS days after started ration in sowing 60 DAS soil at60 DAS Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram 334Vegetable cropping sequence for low cost plastic tunnels 1. Broccoli - spinach - coriander - broccoli - coriander     Crop Nursery sowing Sowing/ transplan- ting time Varieties Seed rate / ha Nutrient management Method of planting Spacing (cm) Water management Intercultural operation"
Organic framing guide.pdf,How to harvesting for Rice?,"Broccoli First week of May First week of June Everest, Aishwarya, TSX-0788 etc. 600 -700 g FYM @ 1.5-2.0 kg/m 2, neem cake @ 200 g/m2 and dolomite @ 200 g/m 2at the time of bed preparation    Planting should be in small pits. 45 cm row to row, 30 cm plant to plant Manual"
Organic framing guide.pdf,How to irrigation for Rice?,at 10-15 days interval or by drip
Organic framing guide.pdf,How to irrigation for Rice?,". Three manual weeding at 10-15 days interval. Harvest before buds open and bud cluster should be compact. Approx. head size: 15-20 cm diameter, weight: 250-600g   Spinach - Third week of September All Green, Pusa Jyoti etc. 15 kg Vermicompost @ 0.5-1.0 kg/m 2 at the time of bed preparation  Sowing should be in rows. 15-20 cm row to row, 3-5 cm plant to plantManual"
Organic framing guide.pdf,How to irrigation for Rice?,"at 7- 10 days interval. Three manual weeding at 10 days interval. Leaf should be cut when attains marketable size or at 6-9'' height plant should be uprooted.   Coriander - Third week of November  Pant Haritma, Super Midori, Khushboo, Rachna etc. 25-30 kg FYM @ 1.5-2.0 kg/m 2 at the time of bed preparation  Sowing should be in rows. 15-20 cm row to row, 3-5 cm plant to plant Manual"
Organic framing guide.pdf,How to irrigation for Rice?,at 7-10 days interval. Three manual weeding at 10 days interval.
Organic framing guide.pdf,How to harvesting for Rice?,"should be done at 6-7'' height and whole plant should be uprooted.   Broccoli Second week of December  Third week of January Everest, Aishwarya TSX-0788 etc. 600 -700 g Vermicompost @ 0.5-1.0 kg/m 2 at the time of bed preparation  Sowing should be in rows. 45 cm row to row, 30 cm plant to plant Manual"
Organic framing guide.pdf,How to irrigation for Rice?,". Three manual weeding at 15 days interval. Harvest before buds open and bud cluster should be compact. Approx. head size: 15-20 cm diameter, weight: 250-600g   Coriander - First week of May Pant Haritma, Super Midori, Khushboo, Rachna etc. 25-30 kg Sowing should be in rows. 15-20 cm row to row, 3-5 cm plant to plantManual"
Organic framing guide.pdf,How to irrigation for Rice?,at 10 days interval. Two manual weeding at 7 days interval.
Organic framing guide.pdf,How to harvesting for Rice?,"should be done at 6-7"" height and whole plant should be uprooted. 335 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Crop protection Insect pests management zNo major insect pests have been recorded in coriander and spinach. zRed ant, cut worm, semi-looper, cabbage butterfly and Diamond back moth are some important pests of broccoli. zRemove and destroy all the remnants, stubble, debris etc. after the harvest of the preceding crop. zApply well-decomposed FYM..."
Organic framing guide.pdf,How to irrigation for Rice?,". zFollow soil conservation practices as the spores are easily transported through wateror wind. zSanitize tools and farm implements used on infected plants. zApply dolomite @ 2 t/ha to reduce the soil acidity and increase pH to 7.2 (6 weeks beforeplanting @ 2.5 t/ha). zTreat the seeds with Trichoderma viride @ 4 g/kg of seeds. Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram 336zDrench with copper oxychloride @ 0.25 per cent. z"
Organic framing guide.pdf,How to seed treatment for Rice?,"with Pseudomonas fluorescens @ 10 g/kg of seeds, followed by seedling dip @ 5 g/l and soil application @ 2.5 kg/ha along with 50 kg FYM before planting. Wiry stem/Damping off ( Rhizoctonia solani ) zRemove infected plants and burn them. zCrop rotation with French bean and green peas. zApply well-decomposed FYM. zDestroy plant debris after harvest. zTreat the nursery soil with Trichoderma viride @ 2 per cent. Black rot of crucifers ( Xanthomonas campestris pv. campestris ) zUse certified seeds. zHot water treatment of seeds at 50oC for 30 min. zDeep ploughing to bury the crop residue..."
Organic framing guide.pdf,How to seed treatment for Rice?,"with Pseudomonas fluorescens @ 10 g/kg and foliar spray of Pseudomonas fluorescens @ 2 g/litre. zSpray neem seed kernel extract @ 5 per cent. 337 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram 2. Broccoli - coriander - cabbage - radish - coriander  Crop Nursery sowing Sowing/ transplanting time Varieties Seed rate/ ha Nutrient management Method of planting Spacing (cm) Water management Intercultural operation"
Organic framing guide.pdf,How to harvesting for Rice?,"Broccoli First week of May First week of June Everest, Aishwarya,  TSX-0788, etc. 600 - 700 g FYM @ 1.5-2.0 kg/m 2, neem cake @ 200 g/m2 and dolomite @ 200 g/m 2 at the time of bed preparation    Planting should be in small pits. 45 cm row to row, 30 cm plant to plant Manual"
Organic framing guide.pdf,How to irrigation for Rice?,at 10- 15 days interval or by drip
Organic framing guide.pdf,How to irrigation for Rice?,". Three manual weeding at  10-15 days interval. Harvest before buds open and bud cluster should be compact. Approx. head size: 15-20 cm diameter, weight: 250-600 g   Coriander - Third week of September Pant Haritma, Super Midori, Khushboo, Rachna etc. 25-30 kg Vermicompost @ 0.5-1.0 kg/m 2 at the time of bed preparation  Sowing should be in rows. 15-20 cm row to row, 3-5 cm plant to plant Manual"
Organic framing guide.pdf,How to irrigation for Rice?,at 7- 10 days interval. Three manual weeding at 10 days interval.
Organic framing guide.pdf,How to harvesting for Rice?,"should be done at 6-7'' height and whole plant should be uprooted.   Cabbage First week of October Third week of November  Rare Ball, Magic Ball, BC-76, Golden Acre, Pragati etc. 500 -600 g FYM @ 1.5-2.0 kg/m 2 at the time of bed preparation  Planting should be in small pits. 40 cm row to row, 30 cm plant to plant Manual"
Organic framing guide.pdf,How to irrigation for Rice?,". Three manual weeding at 15 days interval. Harvestin g should be done when head size: 15-20 cm diameter and weight: 1-1.5 kg   Radish - First week of March Pusa Chetki, Chinese Pink etc. 8-10 kg Vermicompost @ 0.5-1.0 kg/m 2 at the time of bed preparation  Sowing should be in rows. 20 cm row to row, 5 cm plant to plant Manual"
Organic framing guide.pdf,How to irrigation for Rice?,at 10 days interval. Three manual weeding at 10 days interval. Light
Organic framing guide.pdf,How to irrigation for Rice?,"may be given to facilitate lifting of roots.   Coriander - First week of May Pant Haritma, Super Midori, Khushboo, Rachna etc. 25-30 kg Sowin g should be in rows. 15-20 cm row to row, 3-5 cm plant to plant Manual"
Organic framing guide.pdf,How to irrigation for Rice?,"at 10 days interval. Two manual weeding at 7 days interval. Harvestin g should be done at 6-7'' height and whole plant should be uprooted. Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram 338Crop protection Insect pests management zNo major insect pests have been recorded in coriander and radish. zRed ant, cut worm, semi-looper, cabbage butterfly and Diamond back moth are some important pests of broccoli and cabbage. zRemove and destroy all the remnants, stubble, debris etc. after the harvest of the preceding crop. zApply well-decomposed FYM..."
Organic framing guide.pdf,How to irrigation for Rice?,". zFollow soil conservation practices since the spores are easily transported through wateror wind. zSanitize tools and farm implements used on infected plants. zApply dolomite @ 2 t/ha to reduce the soil acidity and increase pH to 7.2 (6 weeks beforeplanting @ 2.5 t/ha). 339 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram zTreat the seeds with Trichoderma viride @ 4 gm/kg of seeds. zDrench with copper oxychloride @ 0.25 per cent. z"
Organic framing guide.pdf,How to seed treatment for Rice?,"with Pseudomonas fluorescens @ 10 g/kg and foliar spray of Pseudomonas fluorescens @ 2 g/lit. zSpray neem seed kernel extract @ 5 per cent. Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram 3403. Coriander - radish - fenugreek - spinach - coriander  Crop Nursery sowing Sowing/ transplanting time Varieties Seed rate/ha Nutrient management Method of planting Spacing (cm) Water management Intercultural operation"
Organic framing guide.pdf,How to harvesting for Rice?,"Coriander - First week of June Pant Haritma, Super Midori, Khushboo, Rachna etc. 25-30 kg Vermicompost @ 0.5-1.0 kg/m 2 and dolomite @ 200 g/m2 at the time of bed preparation. Sowing should be in rows. 15-20 cm row to row, 3-5 cm plant to plant Manual"
Organic framing guide.pdf,How to harvesting for Rice?,"should be done at 6-7'' height and whole plant should be uprooted.   Radish - Third week of July Pusa Chetki, Chinese Pink etc. 8-10 kg FYM @ 1.5 -2.0 kg/m 2 at the time of bed preparation  Sowing should be in rows. 20 cm row to row, 5 cm plant to plant Manual"
Organic framing guide.pdf,How to irrigation for Rice?,"may be given to facilitate harvest of roots.   Fenugreek - First week of October Local, Pusa Kasuri, Prabha, Sag Kalmi etc. 30-35 kg Sowing should be in rows. 15-20 cm row to row, 3-5 cm plant to plant Manual"
Organic framing guide.pdf,How to irrigation for Rice?,at 10 days interval. Three manual weeding at 10 days interval.
Organic framing guide.pdf,How to harvesting for Rice?,"should be done at 6-7'' height and whole plant should be uprooted.   Spinach - First week of January All Green, Pusa Jyoti etc. 15 kg FYM @ 1.5 -2.0 kg/m 2 at the time of bed preparation  Sowing should be in rows. 15-20 cm row to row, 3-5 cm plant to plant Manual"
Organic framing guide.pdf,How to irrigation for Rice?,"at 7- 10 days interval. Three manual weeding at 10 days interval. Leaf should be cut when attains marketable size or at 6-9'' height plant should be uprooted.   Coriander - First week of April Pant Haritma, Super Midori, Khushboo, Rachna 25-30 kg Vermicompost @ 0.5-1.0 kg/m 2 at the time of bed preparation  Sowing should be in rows. 15-20 cm row to row, 3-5 cm plant to plant Manual"
Organic framing guide.pdf,How to harvesting for Rice?,"should be done at 6-7'' height and whole plant should be uprooted. 341 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Crop protection Insect pests management: Insect pests that cause economic damage have not been reported under Sikkim conditions. Disease managementCorianderPowdery mildew ( Erysiphe polygoni ) zUse sulphur dust @ 20-25 kg per ha. zSpray wettable sulphur @ 0.25 per cent. z"
Organic framing guide.pdf,How to seed treatment for Rice?,"with Pseudomonas fluorescens @ 10 g/kg and foliar spray of Pseudomonas fluorescens @ 2 g/litre. zSpray neem seed kernel extract @ 5 per cent. FenugreekPowdery mildew ( Erysiphe polygoni and Leveillula taurica ) zDust sulphur @ 25 kg/ha or spray wettable sulphur @ 0.25 per cent. Radish: Major diseases have not been reported under Sikkim conditions. Spinach: Major diseases have not been reported under Sikkim conditions. Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram 3424..."
Organic framing guide.pdf,How to harvesting for Rice?,"Cabbage First week of May First week of June  Golden Acre, Rare Ball, Magic Ball, BC-76, Pragati etc. 500 - 600 g FYM @ 1.5 -2.0 kg/m 2, neem cake @ 200 g/m2 and dolomite @ 200 g/m 2 at the time of bed preparation Planting should be in small pits. 40 cm row to row, 30 cm plant to plant Manual"
Organic framing guide.pdf,How to irrigation for Rice?,. Three manual weeding at  10-15 days interval.
Organic framing guide.pdf,How to harvesting for Rice?,"should be done when head size: 15- 20 cm diameter and weight: 1-1.5 kg   Raya s āg Fourth week of August Fourth week of September Green leaf or purple leaf type 600 - 700 g Vermicompost @ 0.5-1.0 kg/m 2 at the time of bed preparation  Planting should be in small pits. 45 cm row to row, 30 cm plant to plant Manual"
Organic framing guide.pdf,How to irrigation for Rice?,"at 10- 15 days interval. Three manual weeding at 10 days interval. Multiple leaf cut should be taken when attains marketable size or at 9- 12'' length.   Broccoli Fourth week of November First week of January Everest, Aishwarya, TSX-0788, etc. 600 -700 g FYM @ 1.5 -2.0 kg/m 2, neem cake @ 200 g/m2 at the time of bed preparation  Sowing should be in rows. 45 cm row to row, 30 cm plant to plant Manual"
Organic framing guide.pdf,How to irrigation for Rice?,". Three manual weeding at 15 days interval. Harvest before buds open and bud cluster should be compact. Approx. head size: 15-20 cm diameter, weight: 250- 600 g   Coriander - Fourth week of April Pant Haritma, Super Midori, Khushboo, Rachna 25-30 kg Sowing should be in rows. 15-20 cm row to row, 3-5 cm plant to plant Manual"
Organic framing guide.pdf,How to harvesting for Rice?,"should be done at 6-7'' height and whole plant should be uprooted. 343 Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram Crop protection Insect pests management zNo major insect pests have been recorded in coriander and Raya sâg. zRed ant, cut worm, semi-looper, cabbage butterfly and Diamond back moth are some important pests of cabbage and broccoli. zRemove and destroy all the remnants, stubble, debris etc. after the harvest of the preceding crop. zApply well-decomposed FYM..."
Organic framing guide.pdf,How to irrigation for Rice?,". Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram 344zFollow soil conservation practices as the spores are easily transported through water or wind. zClean tools and farm implements used on infected plants. zApply dolomite @ 2 t/ha to reduce the soil acidity and increase pH to 7.2 (6 weeks beforeplanting @ 2.5 t/ha). zTreat the seeds with Trichoderma viride @ 4 gm/kg of seeds. zDrench with copper oxychloride @ 0.25 per cent. z"
Organic framing guide.pdf,How to irrigation for Rice?,. zFollow soil conservation practices as the spores are easily transported through wateror wind. zClean tools and farm implements used on infected plants. zApply dolomite @ 2 t/ha to reduce the soil acidity and increase pH to 7.2 (6 weeks beforeplanting @ 2.5 t/ha). zTreat the seeds with Trichoderma viride @ 4 gm/kg of seeds. zDrench with copper oxychloride @ 0.25 per cent. z
Organic framing guide.pdf,How to seed treatment for Rice?,"with Pseudomonas fluorescens @ 10 g/kg of seeds, followed by seedling dip @ 5 g/l and soil application @ 2.5 kg/ha along with 50 kg FYM before planting. Coriander Powdery mildew ( Erysiphe polygoni ) zUse sulphur dust @ 20-25 kg per ha. zSpray wettable sulphur @ 0.25 per cent. z"
Organic framing guide.pdf,How to seed treatment for Rice?,"with Pseudomonas fluorescens @ 10 g/kg and foliar spray of Pseudomonas fluorescens @ 2 g/lit. zSpray neem seed kernel extract @ 5 per cent. Organic Farming : Crop Production Guide NPOF, ICAR-IIFSR, Modipuram 3465. Cabbage - spinach - broccoli - coriander  Crop Nursery sowing Sowing/ transplanting time Varieties Seed rate/ ha Nutrient management Method of planting Spacing (cm) Water management Intercultural operation"
